split,asset_id,asset_ticker,family,endpoints,positives,prevalence,lookback,endpoint_sha256
train,42,PPLT,Commodities,3435,491,0.14294032023289666,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,43,QQQ,Equities,3439,391,0.11369584181448095,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,44,QUAL,Equities,2549,254,0.09964692036092586,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,45,SHY,Bonds,3439,151,0.0439081128234952,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,46,SIZE,Equities,2612,234,0.08958652373660031,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,47,SLV,Commodities,3439,630,0.1831927886013376,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,48,SOL-USD,Crypto,1265,701,0.5541501976284585,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,49,SPY,Equities,3439,302,0.0878162256469904,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,50,TIP,Bonds,3439,74,0.02151788310555394,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,51,TLT,Bonds,3439,169,0.049142192497819134,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,52,UNG,Commodities,3439,1305,0.37947077638848503,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,54,USMV,Equities,2985,185,0.06197654941373534,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,55,USO,Commodities,3439,859,0.24978191334690317,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,56,UUP,FX,3439,45,0.013085199185809828,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,57,VEA,Equities,3439,310,0.09014248328002326,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,58,VGK,Equities,3439,372,0.10817097993602791,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,59,VLUE,Equities,2612,232,0.0888208269525268,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,60,VNQ,Real assets,3439,360,0.10468159348647862,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,61,VT,Equities,3439,303,0.08810700785111951,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,62,VTI,Equities,3439,311,0.09043326548415237,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,63,VTV,Equities,3439,300,0.08723466123873219,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,64,VUG,Equities,3439,366,0.10642628671125327,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,65,VWO,Equities,3439,350,0.10177377144518755,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,66,XBI,Equities,3439,699,0.203256760686246,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,67,XLB,Equities,3439,341,0.09915673160802559,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,68,XLC,Equities,1310,176,0.13435114503816795,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,69,XLE,Equities,3439,515,0.14975283512649026,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,70,XLF,Equities,3439,408,0.11863913928467577,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,71,XLI,Equities,3439,330,0.09595812736260541,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,72,XLK,Equities,3439,380,0.11049723756906077,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,73,XLM-USD,Crypto,2148,1156,0.5381750465549349,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,74,XLP,Equities,3439,191,0.0555394009886595,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,75,XLRE,Equities,1988,207,0.10412474849094568,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,76,XLU,Equities,3439,208,0.06048269845885432,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,77,XLV,Equities,3439,240,0.06978772899098575,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,78,XLY,Equities,3439,381,0.11078801977318987,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
train,79,XRP-USD,Crypto,2148,1082,0.5037243947858473,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,0,ADA-USD,Crypto,379,200,0.5277044854881267,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,1,AGG,Bonds,238,0,0.0,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,2,AVAX-USD,Crypto,379,226,0.5963060686015831,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,3,BCH-USD,Crypto,379,194,0.5118733509234829,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,4,BND,Bonds,238,0,0.0,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,5,BTC-USD,Crypto,379,120,0.316622691292876,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,6,CPER,Commodities,238,27,0.1134453781512605,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,7,DBA,Commodities,238,20,0.08403361344537816,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,8,DIA,Equities,238,16,0.06722689075630252,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,9,DOGE-USD,Crypto,379,208,0.5488126649076517,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,10,DOT-USD,Crypto,379,226,0.5963060686015831,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,11,EEM,Equities,238,13,0.0546218487394958,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,12,EFA,Equities,238,2,0.008403361344537815,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,13,EMB,Bonds,238,10,0.04201680672268908,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,14,ETH-USD,Crypto,379,163,0.43007915567282323,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,15,EWA,Equities,238,21,0.08823529411764706,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,16,EWC,Equities,238,5,0.02100840336134454,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,17,EWJ,Equities,238,16,0.06722689075630252,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,18,EWU,Equities,238,1,0.004201680672268907,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,19,EWZ,Equities,238,44,0.18487394957983194,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,20,FXA,FX,238,8,0.03361344537815126,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,21,FXB,FX,238,5,0.02100840336134454,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,22,FXC,FX,238,5,0.02100840336134454,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,23,FXE,FX,238,10,0.04201680672268908,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,24,FXI,Equities,238,35,0.14705882352941177,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,25,FXY,FX,238,15,0.06302521008403361,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,26,GLD,Commodities,238,7,0.029411764705882353,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,27,HYG,Bonds,238,8,0.03361344537815126,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,28,IEF,Bonds,238,2,0.008403361344537815,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,29,IFRA,Real assets,238,27,0.1134453781512605,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,30,INDA,Equities,238,17,0.07142857142857142,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,31,IWD,Equities,238,8,0.03361344537815126,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,32,IWF,Equities,238,21,0.08823529411764706,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,33,IWM,Equities,238,46,0.19327731092436976,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,34,IYR,Real assets,238,20,0.08403361344537816,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,35,JNK,Bonds,238,8,0.03361344537815126,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,36,LINK-USD,Crypto,379,211,0.5567282321899736,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,37,LQD,Bonds,238,1,0.004201680672268907,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,38,LTC-USD,Crypto,379,156,0.41160949868073876,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,39,MTUM,Equities,238,23,0.09663865546218488,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,40,MUB,Bonds,238,12,0.05042016806722689,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,41,PALL,Commodities,238,64,0.2689075630252101,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,42,PPLT,Commodities,238,25,0.10504201680672269,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,43,QQQ,Equities,238,23,0.09663865546218488,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,44,QUAL,Equities,238,12,0.05042016806722689,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,45,SHY,Bonds,238,10,0.04201680672268908,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,46,SIZE,Equities,238,15,0.06302521008403361,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,47,SLV,Commodities,238,42,0.17647058823529413,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,48,SOL-USD,Crypto,379,181,0.47757255936675463,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,49,SPY,Equities,238,23,0.09663865546218488,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,50,TIP,Bonds,238,0,0.0,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,51,TLT,Bonds,238,4,0.01680672268907563,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,52,UNG,Commodities,238,95,0.39915966386554624,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,54,USMV,Equities,238,3,0.012605042016806723,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,55,USO,Commodities,238,38,0.15966386554621848,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,56,UUP,FX,238,11,0.046218487394957986,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,57,VEA,Equities,238,2,0.008403361344537815,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,58,VGK,Equities,238,1,0.004201680672268907,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,59,VLUE,Equities,238,18,0.07563025210084033,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,60,VNQ,Real assets,238,20,0.08403361344537816,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,61,VT,Equities,238,21,0.08823529411764706,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,62,VTI,Equities,238,26,0.1092436974789916,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,63,VTV,Equities,238,5,0.02100840336134454,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,64,VUG,Equities,238,19,0.07983193277310924,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,65,VWO,Equities,238,12,0.05042016806722689,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,66,XBI,Equities,238,42,0.17647058823529413,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,67,XLB,Equities,238,13,0.0546218487394958,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,68,XLC,Equities,238,15,0.06302521008403361,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,69,XLE,Equities,238,27,0.1134453781512605,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,70,XLF,Equities,238,18,0.07563025210084033,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
validation,71,XLI,Equities,238,14,0.058823529411764705,60,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60
