model,identity_variant,seed,method,n_obs,original_roc_auc,perturbed_roc_auc,roc_auc_drop,original_within_asset_roc_auc,perturbed_within_asset_roc_auc,within_asset_auc_drop,prediction_spearman,mean_absolute_probability_displacement,status,within_asset_auc_drop_ci_lower,within_asset_auc_drop_ci_upper,bootstrap_valid_draw_fraction
mlp,asset_conditioned,7,reverse,21514,0.7289546772872187,0.714771514886658,0.014183162400560723,0.544076171133308,0.49691936151420635,0.047156809619101625,0.8688705350599912,0.1329246317615978,completed,,,
mlp,asset_conditioned,7,deterministic_permutation,21514,0.7289546772872187,0.7256266612875388,0.003328015999679912,0.544076171133308,0.5212522809667459,0.022823890166562055,0.8890347968644354,0.1157640455006097,completed,,,
mlp,asset_conditioned,7,circular_shift,21514,0.7289546772872187,0.7059164162924405,0.023038260994778237,0.544076171133308,0.49458114836986433,0.04949502276344364,0.8274265926789136,0.14983728079996408,completed,,,
mlp,asset_conditioned,42,reverse,21514,0.6423750216219766,0.6443131634721389,-0.0019381418501622782,0.5291764625565886,0.5446465017117029,-0.015470039155114357,0.5206133570064405,0.22503506299290885,completed,,,
mlp,asset_conditioned,42,deterministic_permutation,21514,0.6423750216219766,0.6487299546732475,-0.0063549330512708835,0.5291764625565886,0.528446126516674,0.0007303360399145697,0.7639601155905321,0.15763731722151514,completed,,,
mlp,asset_conditioned,42,circular_shift,21514,0.6423750216219766,0.6555052159161445,-0.013130194294167952,0.5291764625565886,0.5325870678608052,-0.003410605304216663,0.6428359782710086,0.19353986028893838,completed,,,
mlp,asset_conditioned,123,reverse,21514,0.7691335352039151,0.7665512249116211,0.0025823102922940544,0.5435584645733685,0.4882691106967562,0.055289353876612324,0.7091894085116859,0.1992081774905582,completed,,,
mlp,asset_conditioned,123,deterministic_permutation,21514,0.7691335352039151,0.7755980451513657,-0.006464509947450514,0.5435584645733685,0.48386860493727074,0.0596898596360978,0.7930002407602018,0.16751969091401098,completed,,,
mlp,asset_conditioned,123,circular_shift,21514,0.7691335352039151,0.7678305880668278,0.0013029471370873402,0.5435584645733685,0.49374200861611633,0.049816455957252204,0.7945665697038983,0.1745630580651631,completed,,,
mlp,no_explicit_asset_id,7,reverse,21514,0.5229203171341397,0.4926474421606837,0.030272874973455988,0.5507039529171485,0.5220971098035702,0.028606843113578306,0.5022322127391432,0.07884444163070693,completed,,,
mlp,no_explicit_asset_id,7,deterministic_permutation,21514,0.5229203171341397,0.49661133149173886,0.026308985642400806,0.5507039529171485,0.5171028059980003,0.03360114691914817,0.42278217646888355,0.07528292327899047,completed,,,
mlp,no_explicit_asset_id,7,circular_shift,21514,0.5229203171341397,0.5104288064494862,0.012491510684653484,0.5507039529171485,0.5290107680119925,0.021693184905155927,0.35751518348444394,0.08307070280360104,completed,,,
mlp,no_explicit_asset_id,42,reverse,21514,0.4990016327236963,0.49157336503327076,0.0074282676904255385,0.5100782106695908,0.4988742726862855,0.011203937983305323,0.6600228842947836,0.020224419423860867,completed,,,
mlp,no_explicit_asset_id,42,deterministic_permutation,21514,0.4990016327236963,0.4979643686431528,0.0010372640805434985,0.5100782106695908,0.5009984340798833,0.009079776589707489,0.7579579345800174,0.012626556997876593,completed,,,
mlp,no_explicit_asset_id,42,circular_shift,21514,0.4990016327236963,0.5082421865126354,-0.009240553788939121,0.5100782106695908,0.5063326605992595,0.0037455500703312827,0.7962140088875225,0.027263781374443293,completed,,,
mlp,no_explicit_asset_id,123,reverse,21514,0.48863582600373673,0.4741675720632358,0.014468253940500941,0.49842412398787656,0.48953137600430097,0.008892747983575588,0.5732919336225886,0.00016569685091524195,completed,,,
mlp,no_explicit_asset_id,123,deterministic_permutation,21514,0.48863582600373673,0.4738773230242112,0.014758502979525523,0.49842412398787656,0.48902433647512944,0.009399787512747115,0.601978541829053,0.00026127468994406947,completed,,,
mlp,no_explicit_asset_id,123,circular_shift,21514,0.48863582600373673,0.48485837307920887,0.0037774529245278576,0.49842412398787656,0.4953363741482376,0.0030877498396389425,0.7349631266987874,0.003552000372988723,completed,,,
lstm,asset_conditioned,7,reverse,21514,0.6376434233831076,0.6543763223975352,-0.016732899014427538,0.4896565358319786,0.5291544173596681,-0.03949788152768946,0.6741337927449019,0.06488041624553423,completed,,,
lstm,asset_conditioned,7,deterministic_permutation,21514,0.6376434233831076,0.6460982250011829,-0.008454801618075214,0.4896565358319786,0.5065161335284689,-0.016859597696490314,0.7719040679438456,0.045263730079971844,completed,,,
lstm,asset_conditioned,7,circular_shift,21514,0.6376434233831076,0.6473782587909452,-0.009734835407837594,0.4896565358319786,0.493734897262271,-0.004078361430292388,0.7195204294488161,0.05610941338313568,completed,,,
lstm,asset_conditioned,42,reverse,21514,0.6344966783071262,0.5980544604119871,0.03644221789513913,0.5371660686018083,0.4638024977919246,0.07336357080988365,0.4886061624441025,0.006752337253878141,completed,,,
lstm,asset_conditioned,42,deterministic_permutation,21514,0.6344966783071262,0.6038210952666246,0.030675583040501553,0.5371660686018083,0.4846416091002573,0.05252445950155099,0.5319731321427327,0.003139405133947229,completed,,,
lstm,asset_conditioned,42,circular_shift,21514,0.6344966783071262,0.6160961267133975,0.018400551593728665,0.5371660686018083,0.49110725201642436,0.04605881658538391,0.4593127640757734,0.0068372987518897565,completed,,,
lstm,asset_conditioned,123,reverse,21514,0.6917228271212854,0.6539691114984718,0.0377537156228136,0.5277925930982889,0.4831240461896655,0.044668546908623374,0.6058298080143567,0.0337532842963092,completed,,,
lstm,asset_conditioned,123,deterministic_permutation,21514,0.6917228271212854,0.6742934421856248,0.017429384935660597,0.5277925930982889,0.47498794625523216,0.05280464684305669,0.6877097406963221,0.01275930760340032,completed,,,
lstm,asset_conditioned,123,circular_shift,21514,0.6917228271212854,0.6853499625793901,0.00637286454189534,0.5277925930982889,0.48140665423602014,0.046385938862268716,0.6520318707739823,0.02219821507232453,completed,,,
lstm,no_explicit_asset_id,7,reverse,21514,0.7759670777832136,0.7122830455297153,0.06368403225349828,0.48680914975231154,0.45303021898703033,0.03377893076528121,0.5088652719769987,0.0864003029388631,completed,,,
lstm,no_explicit_asset_id,7,deterministic_permutation,21514,0.7759670777832136,0.7248645649522582,0.05110251283095546,0.48680914975231154,0.4576248647064931,0.029184285045818437,0.590243656711357,0.06151629831197214,completed,,,
lstm,no_explicit_asset_id,7,circular_shift,21514,0.7759670777832136,0.7085650156170828,0.06740206216613076,0.48680914975231154,0.44901585974134584,0.03779329001096571,0.47796851924891876,0.07425587102310831,completed,,,
lstm,no_explicit_asset_id,42,reverse,21514,0.7534120808396306,0.7157354003695483,0.037676680470082324,0.47560450063362164,0.4611371623706978,0.014467338262923846,0.561082879959422,0.0654450741146037,completed,,,
lstm,no_explicit_asset_id,42,deterministic_permutation,21514,0.7534120808396306,0.7345222694024278,0.018889811437202808,0.47560450063362164,0.46399948229344007,0.011605018340181572,0.6920706730577989,0.04274623090594453,completed,,,
lstm,no_explicit_asset_id,42,circular_shift,21514,0.7534120808396306,0.708677913751063,0.04473416708856759,0.47560450063362164,0.4454360042156106,0.03016849641801106,0.5754685027367252,0.059827445639943334,completed,,,
lstm,no_explicit_asset_id,123,reverse,21514,0.712551211530865,0.6713871595166405,0.04116405201422446,0.4826390518574145,0.4745676652429736,0.0080713866144409,0.2115394033702185,0.15583646422730765,completed,,,
lstm,no_explicit_asset_id,123,deterministic_permutation,21514,0.712551211530865,0.6986192975764083,0.013931913954456698,0.4826390518574145,0.44805156015992015,0.034587491697494366,0.4493147890341742,0.09746942113527081,completed,,,
lstm,no_explicit_asset_id,123,circular_shift,21514,0.712551211530865,0.6711036248069191,0.041447586723945884,0.4826390518574145,0.4218369764799083,0.060802075377506204,0.25867246022552465,0.12087489643692341,completed,,,
