model_variant,score,stride,offset,n_obs,positives,prevalence,f1,balanced_accuracy,roc_auc,pr_auc,brier_score,log_loss,prediction_positive_rate
historical_frozen,transformer,10,0,1980,336,0.1696969696969697,0.5530393325387366,0.762817170663886,0.8038619873131734,0.42332129665709495,0.11291310136522782,0.36605073116648196,0.25404040404040407
historical_frozen,transformer,10,1,1980,348,0.17575757575757575,0.5454545454545454,0.7497887085868831,0.7832537469010593,0.40750089007378887,0.11885052451562324,0.3826067713097977,0.25202020202020203
historical_frozen,transformer,10,2,1980,330,0.16666666666666666,0.5528846153846154,0.7660606060606061,0.8019485766758494,0.4102566240425416,0.11279252621773882,0.36573187467628193,0.25353535353535356
historical_frozen,transformer,10,3,1980,349,0.17626262626262626,0.535840188014101,0.7426500169530532,0.7832670729543462,0.40820852568982935,0.11969667710598092,0.38569828560156527,0.25353535353535356
historical_frozen,transformer,10,4,1980,337,0.17020202020202022,0.531435349940688,0.7465255891824141,0.7721247049347018,0.3864212540989806,0.11967455431677733,0.3876348679800119,0.25555555555555554
historical_frozen,transformer,10,5,1980,351,0.17727272727272728,0.5710955710955711,0.7685854149942548,0.7947808506433429,0.4220869474552672,0.11622157470395914,0.37726421689434864,0.25606060606060604
historical_frozen,transformer,10,6,1980,353,0.1782828282828283,0.5942196531791908,0.7856575737684366,0.8129589034894512,0.45212994434556664,0.11205272297605055,0.36550070534091633,0.2585858585858586
historical_frozen,transformer,10,7,1968,361,0.1834349593495935,0.6067677946324388,0.7866820541019466,0.828332416867341,0.4860928655683312,0.11116154205953686,0.3619657064372685,0.25203252032520324
historical_frozen,transformer,10,8,1968,319,0.16209349593495934,0.5696821515892421,0.7845488193661591,0.8213242185346489,0.4197505185503046,0.10726930135644717,0.35024422420282775,0.2535569105691057
historical_frozen,transformer,10,9,1968,331,0.1681910569105691,0.5566265060240964,0.7670855425978182,0.8092081343995631,0.42197286467100953,0.11184088582228777,0.3637496302197641,0.2535569105691057
historical_frozen,transformer,60,0,384,74,0.19270833333333334,0.48484848484848486,0.6880122057541412,0.7603966870095903,0.42465715710055785,0.13356729726146735,0.4215568418536764,0.23697916666666666
historical_frozen,transformer,60,1,384,74,0.19270833333333334,0.5454545454545454,0.7298605056669573,0.7589363557105493,0.423516064100244,0.1278909556414635,0.409600491733386,0.23697916666666666
historical_frozen,transformer,60,2,384,72,0.1875,0.654320987654321,0.8087606837606838,0.832042378917379,0.5325142885330394,0.107112868261471,0.354815120801306,0.234375
historical_frozen,transformer,60,3,384,85,0.22135416666666666,0.5988700564971752,0.746547314578005,0.7615384615384617,0.4842958942678538,0.1342494119600782,0.4308319131721497,0.23958333333333334
historical_frozen,transformer,60,4,384,76,0.19791666666666666,0.5868263473053892,0.7541866028708134,0.7718515037593985,0.44625846261508884,0.12523252925426798,0.4045840769434233,0.23697916666666666
historical_frozen,transformer,60,5,384,85,0.22135416666666666,0.6057142857142858,0.7498917961833562,0.7856974227818218,0.49957999347477094,0.13166062711316806,0.42011738090302236,0.234375
historical_frozen,transformer,60,6,384,89,0.23177083333333334,0.6815642458100558,0.7935440868406018,0.8358217482384308,0.6045329652823896,0.12118271517013847,0.39228472537117637,0.234375
historical_frozen,transformer,60,7,384,108,0.28125,0.7384615384615385,0.806159420289855,0.8764425657541599,0.7375114953090839,0.1298905135581727,0.4105143487302896,0.2265625
historical_frozen,transformer,60,8,384,83,0.21614583333333334,0.7928994082840237,0.8720529960373054,0.9161229636152584,0.695783732459045,0.09478614912550491,0.31695609690030896,0.22395833333333334
historical_frozen,transformer,60,9,384,85,0.22135416666666666,0.7861271676300579,0.8665551839464883,0.9176273854023215,0.7516651535769265,0.09474644989447585,0.3196696845075239,0.22916666666666666
historical_frozen,transformer,60,10,324,85,0.2623456790123457,0.7953216374269005,0.8623430962343097,0.9031257691361063,0.7586549717176218,0.10709035573394483,0.3479091602049035,0.2654320987654321
