study,cell,seed,split,n_obs,n_assets,n_dates,mae,equal_asset_mae,rmse,spearman,tail_threshold_training_q90,tail_n,tail_mae,top_decile_actual_mean,overall_actual_mean,top_decile_risk_enrichment,prediction_min,prediction_max,equal_asset_mae_ci_lower,equal_asset_mae_ci_upper,spearman_ci_lower,spearman_ci_upper
continuous_downside,continuous_downside__last_observable_target,ensemble,validation,20494,79,379,0.03188261677176539,0.027849482667493944,0.05301710333792161,0.12206862096450823,0.06444563865661622,2697,0.0839862843414265,0.06966406663796522,0.029374789509578,2.371559687780926,0.0,0.3275092496733497,,,,
continuous_downside,continuous_downside__last_observable_target,ensemble,test,21514,79,397,0.02956168872911448,0.02556096174490893,0.05276204912505321,0.243581645836637,0.06444563865661622,2806,0.08480434877639613,0.07447251562876006,0.02891647202024434,2.5754357439117075,0.0,0.3972349570756095,,,,
continuous_downside,continuous_downside__mlp__asset_intercept_dynamic_residual,ensemble,validation,20494,79,379,0.04535191765277795,0.0439246672297726,0.058272097552935054,0.27981011773586517,0.06444563865661622,2697,0.052401942443487046,0.05862467167353848,0.029374789595193133,1.995747798756379,0.0,0.27461052934328717,,,,
continuous_downside,continuous_downside__mlp__asset_intercept_dynamic_residual,ensemble,test,21514,79,397,0.06389937553018449,0.06356058706532765,0.07672937738115447,0.27645154936713195,0.06444563865661622,2806,0.05466163738640226,0.046304691819643744,0.02891647209539494,1.601325765704937,0.0,0.37834028402964276,,,,
continuous_downside,continuous_downside__mlp__asset_intercept_dynamic_residual,123,validation,20494,79,379,0.03402202357669377,0.03183494239418896,0.048334583599238534,0.3035710006992008,0.06444563865661622,2697,0.05882283566919496,0.06520425940977365,0.029374789595193133,2.219735368604772,0.0,0.2467772662639618,,,,
continuous_downside,continuous_downside__mlp__asset_intercept_dynamic_residual,123,test,21514,79,397,0.04630228200185574,0.04492731523839392,0.062080575278223034,0.2878794130729788,0.06444563865661622,2806,0.05916641696694115,0.044755419104733955,0.02891647209539494,1.547748250792372,0.0,0.37256544828414917,,,,
continuous_downside,continuous_downside__mlp__asset_intercept_dynamic_residual,42,validation,20494,79,379,0.049040876840186445,0.04790600724566135,0.06310785122960737,0.2432708848429023,0.06444563865661622,2697,0.05405279133823853,0.05411414041842629,0.029374789595193133,1.8421966987392988,0.0,0.29427990317344666,,,,
continuous_downside,continuous_downside__mlp__asset_intercept_dynamic_residual,42,test,21514,79,397,0.06982860776269458,0.06973467952153914,0.08359358076427521,0.26673528759855863,0.06444563865661622,2806,0.05748491419057069,0.049185634581597186,0.02891647209539494,1.7009555805886218,0.0,0.39704203605651855,,,,
continuous_downside,continuous_downside__mlp__asset_intercept_dynamic_residual,7,validation,20494,79,379,0.05701326212075109,0.05618568118511326,0.06956509936029943,0.26632661944904346,0.06444563865661622,2697,0.049778041782732645,0.051756024223911325,0.029374789595193133,1.7619198277553156,0.0,0.2995332181453705,,,,
continuous_downside,continuous_downside__mlp__asset_intercept_dynamic_residual,7,test,21514,79,397,0.07923371558393384,0.07972075106630938,0.0905860887101711,0.24845398179341452,0.06444563865661622,2806,0.054592729784768666,0.04141882296822979,0.02891647209539494,1.4323608644785508,0.0,0.3654133677482605,,,,
continuous_downside,continuous_downside__mlp__no_id_temporal,ensemble,validation,20494,79,379,0.5777408164655302,0.5944659833374207,0.6051670628581872,-0.14303985424191712,0.06444563865661622,2697,0.39558475246986075,0.01757891032981073,0.029374789595193133,0.5984352763734291,0.17043927311897278,0.9893248478571574,,,,
continuous_downside,continuous_downside__mlp__no_id_temporal,ensemble,test,21514,79,397,0.6948759846573792,0.7135938596992653,0.7215812983781742,-0.15721639396842949,0.06444563865661622,2806,0.4836757558183981,0.022017622754742915,0.02891647209539494,0.7614214722358646,0.0932713473836581,0.9604530334472656,,,,
continuous_downside,continuous_downside__mlp__no_id_temporal,123,validation,20494,79,379,0.7234274673478237,0.7424542025131613,0.7489893393675475,-0.1490762943677893,0.06444563865661622,2697,0.5269126410081204,0.019140989653487983,0.029374789595193133,0.6516128257347654,0.21940237283706665,1.0,,,,
continuous_downside,continuous_downside__mlp__no_id_temporal,123,test,21514,79,397,0.8325999072613329,0.8536936684777594,0.8604993066688156,-0.18728992081997983,0.06444563865661622,2806,0.6019605386813708,0.01813310026828907,0.02891647209539494,0.6270854967531408,0.1039276272058487,1.0,,,,
