source_stage,model,intervention,identity_probe_balanced_accuracy_before,identity_probe_balanced_accuracy_after,pooled_roc_auc_before,pooled_roc_auc_after,within_asset_roc_auc_before,within_asset_roc_auc_after,evidence_class,decision,new_intervention_training_performed
historical_phase6,transformer_encoder,remove_explicit_asset_id,0.1669,0.016,0.7891,0.7159,0.4982,0.4783,post_hoc_robustness,historical_identity_reduced_but_no_temporal_skill_preserved,False
fixed_cross_model_ensemble,mlp,remove_explicit_asset_id,0.17325949367088603,0.014603111814345968,0.7964776612507657,0.5249794845703994,0.5569669222487239,0.5446863252932367,historical_held_out_but_adaptive,descriptive_existing_identity_ablation_only,False
fixed_cross_model_ensemble,lstm,remove_explicit_asset_id,0.056401635021097,0.016580959915611735,0.6928695962443059,0.7778896433474418,0.5183437372440091,0.4806948077161034,historical_held_out_but_adaptive,descriptive_existing_identity_ablation_only,False
fixed_cross_model_ensemble,tcn,remove_explicit_asset_id,0.08280590717299573,0.015855748945147633,0.7758812365600644,0.7326212759164129,0.5474533530744516,0.4710105660495434,historical_held_out_but_adaptive,descriptive_existing_identity_ablation_only,False
fixed_cross_model_ensemble,transformer_encoder,remove_explicit_asset_id,0.16666666666666663,0.02745912447257377,0.7898135576855014,0.7154766551871594,0.4916384701486699,0.4725700859478225,historical_held_out_but_adaptive,descriptive_existing_identity_ablation_only,False
fixed_cross_model_ensemble,flattened_logistic,remove_explicit_asset_id,,,0.5762199724774772,0.3986909500884543,0.5121710821062693,0.5321141628300913,historical_held_out_but_adaptive,descriptive_existing_identity_ablation_only,False
