variant,seed,status,runtime_seconds,best_epoch,best_validation_loss,train_windows,validation_windows,test_windows,feature_count,calibration_method,selected_threshold,validation_threshold_f1,n_obs,class_balance,prediction_positive_rate,prediction_unique_values,accuracy,balanced_accuracy,f1,roc_auc,pr_auc,brier_score,expected_calibration_error,n,log_loss,calibration_intercept,calibration_slope,true_negative,false_positive,false_negative,true_positive,degenerate_prediction
legacy_target_purge18,7,completed,29.21028650000153,1.0,0.8492796547427561,220980,18828,19764,34.0,,,,,,,,,,,,,,,,,,,,,,,
legacy_target_purge18,42,completed,27.697094499999366,1.0,0.7129935197498937,220980,18828,19764,34.0,,,,,,,,,,,,,,,,,,,,,,,
legacy_target_purge18,123,completed,34.983884500001295,2.0,0.6540080114157559,220980,18828,19764,34.0,,,,,,,,,,,,,,,,,,,,,,,
legacy_target_purge18,ensemble,completed,,,,220980,18828,19764,,isotonic,0.17,0.5611089914790792,19764.0,0.17278890912770695,0.2654320987654321,2.0,0.7950313701679822,0.7475373592861492,0.5322711003348343,0.8011226390821652,0.4205612397447428,0.11579230517253195,0.033702696812278825,19764.0,0.37499550086809713,-0.17036267069685226,1.10084702461677,13408.0,2941.0,1110.0,2305.0,False
corrected_asset_conditioned,7,completed,41.58421670000098,2.0,0.6895283532861595,245055,20494,21514,34.0,,,,,,,,,,,,,,,,,,,,,,,
corrected_asset_conditioned,42,completed,30.62906230000226,1.0,0.70867968275685,245055,20494,21514,34.0,,,,,,,,,,,,,,,,,,,,,,,
corrected_asset_conditioned,123,completed,30.81038709999848,1.0,0.6606888858541647,245055,20494,21514,34.0,,,,,,,,,,,,,,,,,,,,,,,
corrected_asset_conditioned,ensemble,completed,,,,245055,20494,21514,,isotonic,0.23,0.5577188795377465,21514.0,0.16133680394161942,0.2660128288556289,2.0,0.791205726503672,0.7452197687802146,0.5114204916249728,0.7890706702399992,0.4028659531358338,0.1109195470921762,0.02935148466450759,21514.0,0.36054808768964586,-0.20680478088008653,1.0019536451656834,14671.0,3372.0,1120.0,2351.0,False
no_explicit_asset_id,7,completed,68.61139580000236,6.0,0.6502992432908778,245055,20494,21514,34.0,,,,,,,,,,,,,,,,,,,,,,,
no_explicit_asset_id,42,completed,45.649064799999906,3.0,0.6574265743809653,245055,20494,21514,34.0,,,,,,,,,,,,,,,,,,,,,,,
no_explicit_asset_id,123,completed,30.85022140000001,1.0,0.7057615133847471,245055,20494,21514,34.0,,,,,,,,,,,,,,,,,,,,,,,
no_explicit_asset_id,ensemble,completed,,,,245055,20494,21514,,isotonic,0.26,0.5327546453275465,21514.0,0.16133680394161942,0.2449102909733197,2.0,0.7725202193920238,0.6842865677024027,0.440045766590389,0.7159195135063644,0.3541139054374183,0.12407858185174792,0.05960470956514508,21514.0,0.4062462441204096,-0.5542340077110528,0.810350462553372,14697.0,3346.0,1548.0,1923.0,False
no_macro,7,completed,30.37526600000274,1.0,0.6470096674246522,245055,20494,21514,27.0,,,,,,,,,,,,,,,,,,,,,,,
no_macro,42,completed,37.426710799998546,2.0,0.628328516650365,245055,20494,21514,27.0,,,,,,,,,,,,,,,,,,,,,,,
no_macro,123,completed,37.58392710000044,2.0,0.6338660766860387,245055,20494,21514,27.0,,,,,,,,,,,,,,,,,,,,,,,
no_macro,ensemble,completed,,,,245055,20494,21514,,isotonic,0.25,0.565530258346113,21514.0,0.16133680394161942,0.2439806637538347,2.0,0.8195593566979641,0.7700348919982168,0.5548165137614679,0.806789785271278,0.40442123840172517,0.10572192915858411,0.01029616329258452,21514.0,0.3446322177890762,-0.07891209027063684,1.0135545367469656,15213.0,2830.0,1052.0,2419.0,False
