study,cell,seed,split,score_type,calibration_method,threshold,n_obs,class_balance,prediction_positive_rate,prediction_unique_values,accuracy,balanced_accuracy,f1,roc_auc,pr_auc,brier_score,expected_calibration_error,n,log_loss,calibration_intercept,calibration_slope,true_negative,false_positive,false_negative,true_positive,degenerate_prediction,per_asset_macro_roc_auc,pair_weighted_within_asset_roc_auc,eligible_assets,comparable_pairs,equal_asset_roc_auc,per_asset_macro_pr_auc,within_asset_estimate,within_asset_ci_lower,within_asset_ci_upper,within_asset_valid_draw_fraction
within_objective,within_objective__mlp__bce_plus_within_asset_pairwise,ensemble,validation,raw,isotonic,0.14,20494.0,0.16746364789694546,0.9687713477115253,2.0,0.19381282326534596,0.510005501668261,0.2904749634973804,0.5165974876625739,0.17020049482354202,0.22302436993440766,0.25715972303959705,20494.0,0.6348252890855186,-1.5593113950289945,0.1355912179831292,590.0,16472.0,50.0,3382.0,True,0.5682387048839193,0.5715829314081166,75,662644,0.5248974032607157,0.20047183608254265,,,,
within_objective,within_objective__mlp__bce_plus_within_asset_pairwise,ensemble,validation,validation_calibrated,isotonic,0.14,20494.0,0.16746364789694546,0.9000195179076803,2.0,0.2460720210793403,0.5217223507356551,0.29373314439822645,0.5294543498153859,0.1765262817886072,0.1388920412241358,5.855372303986512e-10,20494.0,0.44955126360233694,-0.026149696021926662,0.9835338726912483,1830.0,15232.0,219.0,3213.0,False,0.5670824627858525,0.5653510784071085,75,662644,0.5348321279458453,0.16952163562735043,,,,
within_objective,within_objective__mlp__bce_plus_within_asset_pairwise,ensemble,test,raw,isotonic,0.14,21514.0,0.16133680394161942,0.9559821511573859,2.0,0.19271172259923772,0.5028831936792757,0.27747732756468924,0.46884089742847257,0.1455447155716622,0.2763882330724345,0.33232861697722493,21514.0,0.7705249215843983,-1.6593770388755333,-0.08841869519614824,811.0,17232.0,136.0,3335.0,True,0.527670255582915,0.5083224174051808,74,703101,0.4805601195628654,0.16210317647204164,,,,
within_objective,within_objective__mlp__bce_plus_within_asset_pairwise,ensemble,test,validation_calibrated,isotonic,0.14,21514.0,0.16133680394161942,0.9229803848656689,2.0,0.21186204332062844,0.49696583370821007,0.27314814814814814,0.47811460770920294,0.1550814016036129,0.13617158990010733,0.017689640715772233,21514.0,0.4520999998284421,-1.5596445887649235,0.05286682156233325,1372.0,16671.0,285.0,3186.0,False,0.5111578724373044,0.5057537963962503,74,703101,0.48466443483206373,0.14659304750548077,,,,
within_objective,within_objective__mlp__bce_plus_within_asset_pairwise,123,validation,raw,none,0.5,20494.0,0.16746364789694546,0.1537035229823363,2.0,0.7345564555479652,0.5076103393929557,0.17350349437860832,0.5506840078512509,0.18169276485744196,0.18191381096690926,0.1428197841704074,20494.0,0.5584058628506562,-1.4414709258618383,0.12835514616125998,14483.0,2579.0,2861.0,571.0,False,0.5624515140346296,0.5615111583293594,75,662644,0.5535984262664957,0.19281806737074234,,,,
within_objective,within_objective__mlp__bce_plus_within_asset_pairwise,123,test,raw,none,0.5,21514.0,0.16133680394161942,0.24421307055870595,2.0,0.667983638560937,0.49026733617072427,0.18131805157593123,0.5005778714260387,0.15295615072445234,0.24088214533847138,0.22720698549691143,21514.0,0.7745400659110925,-1.65678509594347,-0.007991223721436342,13580.0,4463.0,2680.0,791.0,False,0.5207323693824188,0.5056599265254921,74,703101,0.5070610021390414,0.1640693411630594,,,,
within_objective,within_objective__mlp__bce_plus_within_asset_pairwise,42,validation,raw,none,0.5,20494.0,0.16746364789694546,0.7787645164438373,2.0,0.3147262613447838,0.5002240218656817,0.27578382838283827,0.4903410337562254,0.1632334758766038,0.459337198064552,0.5123778771521089,20494.0,1.3639701967615734,-1.6078013331838439,0.003804681093647939,3776.0,13286.0,758.0,2674.0,False,0.5652596817392624,0.5701870084087384,75,662644,0.5010918294740403,0.21484513140752293,,,,
within_objective,within_objective__mlp__bce_plus_within_asset_pairwise,42,test,raw,none,0.5,21514.0,0.16133680394161942,0.8727805150134796,2.0,0.24281862972947849,0.49133954510187444,0.26779935275080907,0.4693045055001854,0.14695774760418834,0.5617785025060157,0.613936975019362,21514.0,2.1153022164441952,-1.5313329011311494,-0.0630620640677359,2245.0,15798.0,492.0,2979.0,False,0.5595530144998339,0.5209280032313992,74,703101,0.48731274338987507,0.1669089816301582,,,,
within_objective,within_objective__mlp__bce_plus_within_asset_pairwise,7,validation,raw,none,0.5,20494.0,0.16746364789694546,0.011759539377378746,2.0,0.8235093198009173,0.4978373129234693,0.01524639259460931,0.47766382627843773,0.15506098532161314,0.16787109999365318,0.15824141956601673,20494.0,0.520932558030059,-1.4528786012311292,0.20185751789480172,16849.0,213.0,3404.0,28.0,True,0.5568688351466516,0.515433626502315,75,662644,0.4885627903966962,0.17467737908566658,,,,
within_objective,within_objective__mlp__bce_plus_within_asset_pairwise,7,test,raw,none,0.5,21514.0,0.16133680394161942,0.04889839174491029,2.0,0.7986892256205261,0.4873365992916854,0.04244970152553615,0.3869973667853514,0.12428214381955824,0.19605838674267115,0.2058685227256698,21514.0,0.5955606029906396,-1.7311581349896141,-0.12140151536009466,17087.0,956.0,3375.0,96.0,True,0.4329665070117608,0.49086688825645247,74,703101,0.39060359421818036,0.14864148041705458,,,,
within_objective,within_objective__mlp__equal_asset_bce,ensemble,validation,raw,isotonic,0.15,20494.0,0.16746364789694546,0.4350541621938128,2.0,0.5813408802576364,0.5684035516704606,0.3051506316812439,0.5940907888657273,0.2052505184704499,0.1399628548616817,0.042032619399643555,20494.0,0.45425209988829407,-0.7413561335704528,0.46894674252255786,10030.0,7032.0,1548.0,1884.0,False,0.5104415021038738,0.5172792630733848,75,662644,0.5810797556908859,0.16160772338399365,,,,
within_objective,within_objective__mlp__equal_asset_bce,ensemble,validation,validation_calibrated,isotonic,0.15,20494.0,0.16746364789694546,0.6367717380696789,2.0,0.44842392895481603,0.5706268807385324,0.31416090280305786,0.597332932423338,0.2078729078801067,0.13703860158828274,5.757782821388616e-09,20494.0,0.44220214811834907,-0.004461380806130244,0.9971616670110213,6601.0,10461.0,843.0,2589.0,False,0.5144361420968095,0.521648879337925,75,662644,0.5843026101938956,0.15989840200043043,,,,
within_objective,within_objective__mlp__equal_asset_bce,ensemble,test,raw,isotonic,0.15,21514.0,0.16133680394161942,0.6284744817328252,2.0,0.4674165659570512,0.6005779943757074,0.3256826741996234,0.6277357878047118,0.2093105564025248,0.1428923803002727,0.04986018133727001,21514.0,0.4529635675817429,-1.0072617273793798,0.4619602904951475,7289.0,10754.0,704.0,2767.0,False,0.5529205203833464,0.4855902637032233,74,703101,0.6189628308364302,0.16463477011224326,,,,
