model_variant,score,n_obs,positives,prevalence,f1,balanced_accuracy,roc_auc,pr_auc,brier_score,log_loss,prediction_positive_rate
historical_frozen,transformer,19764,3415,0.26623285754268117,0.6060981419723717,0.7506107116914598,0.7706016158921675,0.4632996441478574,0.15889478597713586,0.47731998001175907,0.46809403862300586
historical_frozen,static_asset_prior,19764,3415,0.26623285754268117,0.6143443387427732,0.7600242938914105,0.7968218833480101,0.5020855557894786,0.15069773129215705,0.45484806203035183,0.4839770500979568
historical_frozen,static_family_prior,19764,3415,0.26623285754268117,0.611588185335474,0.7564925951121065,0.7733851071729675,0.4600318275127907,0.15386984360120598,0.4635316266079456,0.4752308984047019
historical_frozen,within_asset_centred,19764,3415,0.26623285754268117,0.41165972635326525,0.49957766370402923,0.3379291418561136,0.20038707077655896,,,0.9099496221662468
historical_frozen,asset_prior_residual,19764,3415,0.26623285754268117,0.4292115011465723,0.5503818882448376,0.4663896555739154,0.2359040242185204,,,0.7254058214385669
historical_frozen,family_prior_residual,19764,3415,0.26623285754268117,0.4809672442865725,0.6171499924755026,0.5419322646761963,0.29158699358214507,,,0.7088930870417015
legacy_target_purge18,transformer,19764,3415,0.26623285754268117,0.5854890191034304,0.73124578744447,0.7767501550947624,0.47585266848093616,0.15971864385754828,0.48067662448217824,0.46812902322977884
legacy_target_purge18,static_asset_prior,19764,3415,0.26623285754268117,0.6143443387427732,0.7600242938914105,0.7972119539278544,0.5036528210689414,0.15073316962640834,0.45494559072058494,0.4839770500979568
legacy_target_purge18,static_family_prior,19764,3415,0.26623285754268117,0.611588185335474,0.7564925951121065,0.7733851071729675,0.4600318275127907,0.1538930810814747,0.4636049104375439,0.4752308984047019
legacy_target_purge18,within_asset_centred,19764,3415,0.26623285754268117,0.40495745248604226,0.48887855898680493,0.37316152768839445,0.21092268299468936,,,0.9136929750909599
legacy_target_purge18,asset_prior_residual,19764,3415,0.26623285754268117,0.37413648159655766,0.48747909150268853,0.4182739608654639,0.22151277637490807,,,0.6909109991603696
legacy_target_purge18,family_prior_residual,19764,3415,0.26623285754268117,0.42093596939686856,0.5417474447745614,0.49209024451406175,0.26845234878553276,,,0.7123215785054575
corrected_asset_conditioned,transformer,21514,3471,0.2600330538107536,0.5898977298389736,0.7429578648359236,0.7761854915199675,0.47843291510557906,0.15559515129758242,0.4673337339393029,0.4811986523398059
corrected_asset_conditioned,static_asset_prior,21514,3471,0.2600330538107536,0.6148482555634431,0.766088186460797,0.8025478698076322,0.5035590387754675,0.14733579999335691,0.4460347710458781,0.47390236903357447
corrected_asset_conditioned,static_family_prior,21514,3471,0.2600330538107536,0.6122882208907466,0.7626918723750848,0.7811947837551387,0.46039632609394376,0.1503048991836461,0.45396085330618685,0.4659311928068105
corrected_asset_conditioned,within_asset_centred,21514,3471,0.2600330538107536,0.34266986735667543,0.44661057105618357,0.4352348356371676,0.23431189738044214,,,0.7339354228443282
corrected_asset_conditioned,asset_prior_residual,21514,3471,0.2600330538107536,0.3523699603398443,0.49864178970421097,0.46038038117879654,0.22729449369990024,,,0.552625705449096
corrected_asset_conditioned,family_prior_residual,21514,3471,0.2600330538107536,0.4471862579643498,0.5980331757034555,0.5246606538550354,0.2773768695865165,,,0.5602461499218824
no_explicit_asset_id,transformer,21514,3471,0.2600330538107536,0.5350518432043381,0.6888232378397773,0.732878604782312,0.445845612404936,0.16781761662306216,0.5082722854820716,0.41367216146414554
no_explicit_asset_id,static_asset_prior,21514,3471,0.2600330538107536,0.6148482555634431,0.766088186460797,0.8025478698076322,0.5035590387754675,0.14733579999335691,0.4460347710458781,0.47390236903357447
no_explicit_asset_id,static_family_prior,21514,3471,0.2600330538107536,0.6122882208907466,0.7626918723750848,0.7811947837551387,0.46039632609394376,0.1503048991836461,0.45396085330618685,0.4659311928068105
no_explicit_asset_id,within_asset_centred,21514,3471,0.2600330538107536,0.38876417852982,0.5155770214366294,0.4143325435163947,0.21105169039339142,,,0.678607488654359
no_explicit_asset_id,asset_prior_residual,21514,3471,0.2600330538107536,0.358568271340112,0.4706117873805977,0.3477810101977052,0.19286275585662432,,,0.7174005462912774
no_explicit_asset_id,family_prior_residual,21514,3471,0.2600330538107536,0.38926268536657943,0.5016798322303423,0.393830202369354,0.22251412907398088,,,0.7639575295730638
no_macro,transformer,21514,3471,0.2600330538107536,0.6108361646039319,0.7629570561701104,0.7790546335220887,0.4612549818438648,0.15073463467980625,0.45348628714930705,0.4797930682651531
no_macro,static_asset_prior,21514,3471,0.2600330538107536,0.6148482555634431,0.766088186460797,0.8025478698076322,0.5035590387754675,0.14733579999335691,0.4460347710458781,0.47390236903357447
no_macro,static_family_prior,21514,3471,0.2600330538107536,0.6122882208907466,0.7626918723750848,0.7811947837551387,0.46039632609394376,0.1503048991836461,0.45396085330618685,0.4659311928068105
no_macro,within_asset_centred,21514,3471,0.2600330538107536,0.41167133984809995,0.5403794149465433,0.5216110057317203,0.2693853739344426,,,0.7008603556207419
no_macro,asset_prior_residual,21514,3471,0.2600330538107536,0.47378252792940573,0.6142918168248468,0.5409627626810783,0.25906160342791346,,,0.7612393584797372
no_macro,family_prior_residual,21514,3471,0.2600330538107536,0.5261785367929986,0.682842735697598,0.6047523815993946,0.330746884671817,,,0.638626725759653
