study,cell,seed,split,score_type,calibration_method,threshold,n_obs,class_balance,prediction_positive_rate,prediction_unique_values,accuracy,balanced_accuracy,f1,roc_auc,pr_auc,brier_score,expected_calibration_error,n,log_loss,calibration_intercept,calibration_slope,true_negative,false_positive,false_negative,true_positive,degenerate_prediction,per_asset_macro_roc_auc,pair_weighted_within_asset_roc_auc,eligible_assets,comparable_pairs,equal_asset_roc_auc,per_asset_macro_pr_auc,within_asset_estimate,within_asset_ci_lower,within_asset_ci_upper,within_asset_valid_draw_fraction
static_dynamic,static_dynamic__asset_prior,ensemble,validation,raw,isotonic,0.22,20494.0,0.16746364789694546,0.26837123060407925,2.0,0.8076510198106763,0.7754294873844165,0.5586654724585759,0.8246232921534761,0.46693951433264785,0.10560287506407252,0.02039664612521238,20494.0,0.3454059653492666,-0.019281008395302,1.1377722333644407,14057.0,3005.0,937.0,2495.0,False,0.5,0.5,75,662644,0.8123743927828881,0.1452907917784528,,,,
static_dynamic,static_dynamic__asset_prior,ensemble,validation,validation_calibrated,isotonic,0.22,20494.0,0.16746364789694546,0.23353176539474968,2.0,0.8282424124133893,0.7708042675294463,0.5716719396446824,0.8279175219048914,0.464600756233079,0.10469124938547512,4.1469489867793376e-17,20494.0,0.3401162020924244,-0.000321638521326792,0.9996719748945835,14625.0,2437.0,1083.0,2349.0,False,0.5,0.5,75,662644,0.8163872130306311,0.1452907917784528,,,,
static_dynamic,static_dynamic__asset_prior,ensemble,test,raw,isotonic,0.22,21514.0,0.16133680394161942,0.2679185646555731,2.0,0.810774379473831,0.7837606816316851,0.5591770438548999,0.8239058561294393,0.45307282583307684,0.10325009972216409,0.02670798158065066,21514.0,0.3388593980264592,-0.07109655282906356,1.1431839277982612,14861.0,3182.0,889.0,2582.0,False,0.5,0.5,74,703101,0.8123365581889045,0.14186738375655256,,,,
static_dynamic,static_dynamic__asset_prior,ensemble,test,validation_calibrated,isotonic,0.22,21514.0,0.16133680394161942,0.23305754392488612,2.0,0.8279724830343033,0.7719095311429355,0.5638185032410136,0.8233205358695838,0.44845459750915495,0.102467932530979,0.011567285677552875,21514.0,0.3342166185360394,-0.06272502553772097,0.9948373783559138,15421.0,2622.0,1079.0,2392.0,False,0.5,0.5,74,703101,0.8112864654154331,0.14186738375655256,,,,
static_dynamic,static_dynamic__existing_mlp_asset_conditioned,ensemble,validation,raw,isotonic,0.24,20494.0,0.16746364789694546,0.7530008783058456,2.0,0.3923099443739631,0.6086180381764135,0.33980067854113655,0.8026398358898944,0.4368714900785807,0.24883940504537866,0.32126363509642636,20494.0,1.5176356264665531,-2.035013998852631,0.17722103986363216,4835.0,12227.0,227.0,3205.0,False,0.5238687372622425,0.5345117438624661,75,662644,0.7870762741662145,0.17495360858577444,,,,
static_dynamic,static_dynamic__existing_mlp_asset_conditioned,ensemble,validation,validation_calibrated,isotonic,0.24,20494.0,0.16746364789694546,0.2513418561530204,2.0,0.807699814579877,0.7552081924444485,0.5408365373412559,0.8055162575185141,0.43069277056949057,0.1095605435022535,1.0991717170705781e-17,20494.0,0.3550339445719612,-0.00036563156217056254,0.9996365939838857,14232.0,2830.0,1111.0,2321.0,False,0.5343762682470682,0.5425869697756261,75,662644,0.7904808580486167,0.17273347406931505,,,,
static_dynamic,static_dynamic__existing_mlp_asset_conditioned,ensemble,test,raw,isotonic,0.24,21514.0,0.16133680394161942,0.9167518824951194,2.0,0.23770568002231104,0.5369210270167846,0.2929205829093731,0.7964022228469769,0.40551848830880516,0.3404364667745074,0.44569183365205334,21514.0,1.979545941377585,-2.361428495817909,0.1850756134811339,1717.0,16326.0,74.0,3397.0,False,0.6106001137913051,0.5580357587316758,74,703101,0.7841644733809281,0.18520374174947127,,,,
static_dynamic,static_dynamic__existing_mlp_asset_conditioned,ensemble,test,validation_calibrated,isotonic,0.24,21514.0,0.16133680394161942,0.30501069071302406,2.0,0.7651296829971181,0.7458447123650784,0.4963620053822386,0.7957457434704985,0.3934070215647509,0.11289160971847415,0.04171065382755533,21514.0,0.3653272159642565,-0.2854924476760059,1.0609587751450313,13971.0,4072.0,981.0,2490.0,False,0.6064641768101765,0.5537077887814126,74,703101,0.7836364224775412,0.17646107353111512,,,,
static_dynamic,static_dynamic__existing_mlp_no_id,ensemble,validation,raw,isotonic,0.15,20494.0,0.16746364789694546,1.0,1.0,0.16746364789694546,0.5,0.28688456072891416,0.5466003904859256,0.1778429556122799,0.6914273155544398,0.7363160707968847,20494.0,5.194642235854078,-1.771522792629812,0.02614544202945402,0.0,17062.0,0.0,3432.0,True,0.5186894198294864,0.5203261479768926,75,662644,0.5394965241767652,0.16313147341405754,,,,
static_dynamic,static_dynamic__existing_mlp_no_id,ensemble,validation,validation_calibrated,isotonic,0.15,20494.0,0.16746364789694546,0.8444910705572363,2.0,0.2924270518200449,0.5386220151707786,0.30078595882154396,0.5575084263507367,0.1871824954534385,0.13831917571545582,6.831267717926173e-10,20494.0,0.4474054547329824,-0.009185848958351617,0.9941647183444711,2874.0,14188.0,313.0,3119.0,False,0.5246382608836991,0.5177433131515565,75,662644,0.5513298869281892,0.15377280931159315,,,,
