variant,seed,group,feature_names,method,n_obs,mean_signed_probability_delta,mean_absolute_probability_delta,mean_absolute_logit_attribution,status
corrected_asset_conditioned,42,macro_context,DFF;DGS2;DGS10;T10Y2Y;VIXCLS;BAMLH0A0HYM2;DTWEXBGS,within_window_circular_shift,144,-0.00350972730666399,0.030326001346111298,,provenance_limited
corrected_asset_conditioned,42,returns_momentum,return_close;log_return;open_close_return;overnight_gap;cum_return_5d;cum_return_20d;ma_distance_20d;ma_crossover_5_20d;rsi_14d;macd_12_26;rolling_drawdown_60d;distance_from_20d_high;distance_from_60d_high;negative_return_streak;downside_move_indicator,integrated_gradients_raw_logit,48,,,0.007462265435606241,completed
corrected_asset_conditioned,42,volatility,volatility_5d;volatility_10d;volatility_20d;downside_volatility_20d;ewma_volatility_20d,integrated_gradients_raw_logit,48,,,0.004457070492208004,completed
corrected_asset_conditioned,42,range_dispersion,high_low_range;intraday_range_proxy;rolling_high_low_range_20d,integrated_gradients_raw_logit,48,,,0.006684616673737764,completed
corrected_asset_conditioned,42,volume_liquidity,volume_change;volume_zscore_20d;volume_ma_ratio_20d;price_volume_interaction,integrated_gradients_raw_logit,48,,,0.011524040251970291,completed
corrected_asset_conditioned,42,macro_context,DFF;DGS2;DGS10;T10Y2Y;VIXCLS;BAMLH0A0HYM2;DTWEXBGS,integrated_gradients_raw_logit,48,,,0.025166377425193787,completed
corrected_asset_conditioned,123,returns_momentum,return_close;log_return;open_close_return;overnight_gap;cum_return_5d;cum_return_20d;ma_distance_20d;ma_crossover_5_20d;rsi_14d;macd_12_26;rolling_drawdown_60d;distance_from_20d_high;distance_from_60d_high;negative_return_streak;downside_move_indicator,train_mean_scaled_zero_occlusion,144,-0.15122897922992706,0.17028206586837769,,completed
corrected_asset_conditioned,123,returns_momentum,return_close;log_return;open_close_return;overnight_gap;cum_return_5d;cum_return_20d;ma_distance_20d;ma_crossover_5_20d;rsi_14d;macd_12_26;rolling_drawdown_60d;distance_from_20d_high;distance_from_60d_high;negative_return_streak;downside_move_indicator,within_window_circular_shift,144,-0.0036130105145275593,0.08495552092790604,,completed
corrected_asset_conditioned,123,volatility,volatility_5d;volatility_10d;volatility_20d;downside_volatility_20d;ewma_volatility_20d,train_mean_scaled_zero_occlusion,144,0.024695511907339096,0.027701018378138542,,completed
corrected_asset_conditioned,123,volatility,volatility_5d;volatility_10d;volatility_20d;downside_volatility_20d;ewma_volatility_20d,within_window_circular_shift,144,0.0056045399978756905,0.018160441890358925,,completed
corrected_asset_conditioned,123,range_dispersion,high_low_range;intraday_range_proxy;rolling_high_low_range_20d,train_mean_scaled_zero_occlusion,144,0.019400332123041153,0.02271082252264023,,completed
corrected_asset_conditioned,123,range_dispersion,high_low_range;intraday_range_proxy;rolling_high_low_range_20d,within_window_circular_shift,144,0.010708794929087162,0.01919425278902054,,completed
corrected_asset_conditioned,123,volume_liquidity,volume_change;volume_zscore_20d;volume_ma_ratio_20d;price_volume_interaction,train_mean_scaled_zero_occlusion,144,-0.06135638430714607,0.10107424110174179,,completed
corrected_asset_conditioned,123,volume_liquidity,volume_change;volume_zscore_20d;volume_ma_ratio_20d;price_volume_interaction,within_window_circular_shift,144,0.0070804934948682785,0.08295466005802155,,completed
corrected_asset_conditioned,123,macro_context,DFF;DGS2;DGS10;T10Y2Y;VIXCLS;BAMLH0A0HYM2;DTWEXBGS,train_mean_scaled_zero_occlusion,144,0.2212602198123932,0.23194339871406555,,provenance_limited
corrected_asset_conditioned,123,macro_context,DFF;DGS2;DGS10;T10Y2Y;VIXCLS;BAMLH0A0HYM2;DTWEXBGS,within_window_circular_shift,144,0.005180544685572386,0.07318373769521713,,provenance_limited
corrected_asset_conditioned,123,returns_momentum,return_close;log_return;open_close_return;overnight_gap;cum_return_5d;cum_return_20d;ma_distance_20d;ma_crossover_5_20d;rsi_14d;macd_12_26;rolling_drawdown_60d;distance_from_20d_high;distance_from_60d_high;negative_return_streak;downside_move_indicator,integrated_gradients_raw_logit,48,,,0.012462793849408627,completed
corrected_asset_conditioned,123,volatility,volatility_5d;volatility_10d;volatility_20d;downside_volatility_20d;ewma_volatility_20d,integrated_gradients_raw_logit,48,,,0.006548711098730564,completed
corrected_asset_conditioned,123,range_dispersion,high_low_range;intraday_range_proxy;rolling_high_low_range_20d,integrated_gradients_raw_logit,48,,,0.007326290477067232,completed
corrected_asset_conditioned,123,volume_liquidity,volume_change;volume_zscore_20d;volume_ma_ratio_20d;price_volume_interaction,integrated_gradients_raw_logit,48,,,0.017626622691750526,completed
corrected_asset_conditioned,123,macro_context,DFF;DGS2;DGS10;T10Y2Y;VIXCLS;BAMLH0A0HYM2;DTWEXBGS,integrated_gradients_raw_logit,48,,,0.030145518481731415,completed
corrected_asset_conditioned,7,asset_identity,,zero_asset_embedding,144,0.0855511873960495,0.1280544549226761,,completed
corrected_asset_conditioned,42,asset_identity,,zero_asset_embedding,144,0.13132159411907196,0.14367038011550903,,completed
corrected_asset_conditioned,123,asset_identity,,zero_asset_embedding,144,0.03067462332546711,0.13763684034347534,,completed
no_explicit_asset_id,7,returns_momentum,return_close;log_return;open_close_return;overnight_gap;cum_return_5d;cum_return_20d;ma_distance_20d;ma_crossover_5_20d;rsi_14d;macd_12_26;rolling_drawdown_60d;distance_from_20d_high;distance_from_60d_high;negative_return_streak;downside_move_indicator,train_mean_scaled_zero_occlusion,144,-0.09855551272630692,0.2425369918346405,,completed
no_explicit_asset_id,7,returns_momentum,return_close;log_return;open_close_return;overnight_gap;cum_return_5d;cum_return_20d;ma_distance_20d;ma_crossover_5_20d;rsi_14d;macd_12_26;rolling_drawdown_60d;distance_from_20d_high;distance_from_60d_high;negative_return_streak;downside_move_indicator,within_window_circular_shift,144,0.048715416342020035,0.1586868166923523,,completed
no_explicit_asset_id,7,volatility,volatility_5d;volatility_10d;volatility_20d;downside_volatility_20d;ewma_volatility_20d,train_mean_scaled_zero_occlusion,144,0.0829571783542633,0.08789599686861038,,completed
no_explicit_asset_id,7,volatility,volatility_5d;volatility_10d;volatility_20d;downside_volatility_20d;ewma_volatility_20d,within_window_circular_shift,144,0.03853275254368782,0.06493451446294785,,completed
no_explicit_asset_id,7,range_dispersion,high_low_range;intraday_range_proxy;rolling_high_low_range_20d,train_mean_scaled_zero_occlusion,144,0.046042367815971375,0.06731779128313065,,completed
no_explicit_asset_id,7,range_dispersion,high_low_range;intraday_range_proxy;rolling_high_low_range_20d,within_window_circular_shift,144,0.07504072785377502,0.09266756474971771,,completed
no_explicit_asset_id,7,volume_liquidity,volume_change;volume_zscore_20d;volume_ma_ratio_20d;price_volume_interaction,train_mean_scaled_zero_occlusion,144,-0.10299474745988846,0.15740671753883362,,completed
no_explicit_asset_id,7,volume_liquidity,volume_change;volume_zscore_20d;volume_ma_ratio_20d;price_volume_interaction,within_window_circular_shift,144,0.006051125470548868,0.16524435579776764,,completed
no_explicit_asset_id,7,macro_context,DFF;DGS2;DGS10;T10Y2Y;VIXCLS;BAMLH0A0HYM2;DTWEXBGS,train_mean_scaled_zero_occlusion,144,0.20176874101161957,0.23067206144332886,,provenance_limited
no_explicit_asset_id,7,macro_context,DFF;DGS2;DGS10;T10Y2Y;VIXCLS;BAMLH0A0HYM2;DTWEXBGS,within_window_circular_shift,144,0.048799317330121994,0.19866794347763062,,provenance_limited
no_explicit_asset_id,7,returns_momentum,return_close;log_return;open_close_return;overnight_gap;cum_return_5d;cum_return_20d;ma_distance_20d;ma_crossover_5_20d;rsi_14d;macd_12_26;rolling_drawdown_60d;distance_from_20d_high;distance_from_60d_high;negative_return_streak;downside_move_indicator,integrated_gradients_raw_logit,48,,,0.05518491938710213,completed
no_explicit_asset_id,7,volatility,volatility_5d;volatility_10d;volatility_20d;downside_volatility_20d;ewma_volatility_20d,integrated_gradients_raw_logit,48,,,0.040627654641866684,completed
no_explicit_asset_id,7,range_dispersion,high_low_range;intraday_range_proxy;rolling_high_low_range_20d,integrated_gradients_raw_logit,48,,,0.04836557060480118,completed
