split,asset_id,endpoints,positives,negatives,prevalence,raw_comparable_pairs,outcome_disjoint_pairs,selected_pairs,unique_endpoints,minimum_origin_distance,median_origin_distance,status,asset_ticker,family,registry_sha256
validation,12,238,2,236,0.008403361344537815,472,438,438,222,10.0,64.0,selected,EFA,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,13,238,10,228,0.04201680672268908,2280,2172,2172,238,10.0,109.0,selected,EMB,Bonds,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,14,379,163,216,0.43007915567282323,35208,33885,4096,379,10.0,116.0,selected,ETH-USD,Crypto,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,15,238,21,217,0.08823529411764706,4557,4288,4096,238,10.0,73.0,selected,EWA,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,16,238,5,233,0.02100840336134454,1165,1087,1087,238,10.0,80.0,selected,EWC,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,17,238,16,222,0.06722689075630252,3552,3366,3366,238,10.0,66.0,selected,EWJ,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,18,238,1,237,0.004201680672268907,237,219,219,220,10.0,64.0,selected,EWU,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,19,238,44,194,0.18487394957983194,8536,8110,4096,238,10.0,79.5,selected,EWZ,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,20,238,8,230,0.03361344537815126,1840,1738,1738,238,10.0,65.0,selected,FXA,FX,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,21,238,5,233,0.02100840336134454,1165,1095,1095,238,10.0,80.0,selected,FXB,FX,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,22,238,5,233,0.02100840336134454,1165,1095,1095,228,10.0,64.0,selected,FXC,FX,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,23,238,10,228,0.04201680672268908,2280,2190,2190,238,10.0,64.0,selected,FXE,FX,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,24,238,35,203,0.14705882352941177,7105,6717,4096,238,10.0,69.0,selected,FXI,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,25,238,15,223,0.06302521008403361,3345,3167,3167,238,10.0,83.0,selected,FXY,FX,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,26,238,7,231,0.029411764705882353,1617,1533,1533,232,10.0,64.0,selected,GLD,Commodities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,27,238,8,230,0.03361344537815126,1840,1752,1752,234,10.0,81.5,selected,HYG,Bonds,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,28,238,2,236,0.008403361344537815,472,438,438,223,10.0,64.0,selected,IEF,Bonds,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,29,238,27,211,0.1134453781512605,5697,5409,4096,238,10.0,70.0,selected,IFRA,Real assets,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,30,238,17,221,0.07142857142857142,3757,3571,3571,238,10.0,71.0,selected,INDA,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,31,238,8,230,0.03361344537815126,1840,1724,1724,238,10.0,86.0,selected,IWD,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,32,238,21,217,0.08823529411764706,4557,4349,4096,238,10.0,77.0,selected,IWF,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
